===============================
=== System Glitches (172 cases) ===
===============================
arti.karshner@mail2perry.com	5
	DATE: [2020-05-12] ---
		10:11:12	logout	mailserver.local
		15:49:16	logout	mailserver.local
		04:27:46	login	mailserver.local
	DATE: [2020-05-28] ---
		18:14:42	logout	webserver.local
		19:00:27	login	webserver.local
		21:36:40	logout	webserver.local
	DATE: [2020-05-29] ---
		01:36:47	login	mailserver.local
		13:52:03	logout	mailserver.local
		05:26:07	logout	mailserver.local
remington.gabeline@mail2srilanka.com	2
	DATE: [2020-05-01] ---
		16:21:32	logout	mailserver.local
		18:24:30	login	mailserver.local
		03:08:18	logout	mailserver.local
		04:13:31	logout	mailserver.local
	DATE: [2020-05-02] ---
		11:18:25	logout	myworkstation.local
		13:25:28	login	myworkstation.local
		21:30:39	logout	myworkstation.local
kira.pay@mail2zambia.com	4
	DATE: [2020-05-01] ---
		19:57:14	login	myworkstation.local
		23:09:12	logout	myworkstation.local
		07:17:38	logout	myworkstation.local
	DATE: [2020-05-03] ---
		11:27:54	logout	myworkstation.local
		13:40:46	login	myworkstation.local
		05:49:32	logout	myworkstation.local
	DATE: [2020-05-07] ---
		02:32:13	logout	mailserver.local
		05:39:15	logout	mailserver.local
		05:45:39	login	mailserver.local
	DATE: [2020-05-24] ---
		18:24:49	logout	myworkstation.local
		19:49:47	login	myworkstation.local
		04:14:24	logout	myworkstation.local
aubrea.corridoni@yahoo.com.mx	4
	DATE: [2020-05-01] ---
		19:10:47	logout	mailserver.local
		23:33:00	login	mailserver.local
		09:46:27	logout	mailserver.local
	DATE: [2020-05-15] ---
		11:32:56	logout	webserver.local
		16:20:25	logout	webserver.local
		17:05:47	logout	webserver.local
		19:41:10	logout	webserver.local
		05:42:59	login	webserver.local
	DATE: [2020-05-16] ---
		20:49:25	login	webserver.local
		22:15:15	logout	webserver.local
		03:53:24	logout	webserver.local
	DATE: [2020-05-20] ---
		15:30:55	logout	myworkstation.local
		16:49:35	login	myworkstation.local
		21:29:35	logout	myworkstation.local
ronica.thistle@freesurf.fr	2
	DATE: [2020-05-01] ---
		03:04:11	logout	webserver.local
		03:32:42	login	webserver.local
		09:40:04	logout	webserver.local
	DATE: [2020-05-02] ---
		13:22:44	logout	webserver.local
		15:46:33	login	webserver.local
		06:18:40	logout	webserver.local
kirsten.pflughoeft@mail2srilanka.com	2
	DATE: [2020-05-01] ---
		00:08:47	logout	mailserver.local
		20:27:02	logout	mailserver.local
		09:08:31	login	mailserver.local
	DATE: [2020-05-12] ---
		10:50:26	logout	myworkstation.local
		17:04:39	logout	myworkstation.local
		07:29:19	logout	myworkstation.local
		07:49:25	login	myworkstation.local
tarrin.evanoff@blacksburg.net	5
	DATE: [2020-05-01] ---
		14:42:54	logout	myworkstation.local
		18:11:51	logout	myworkstation.local
		09:19:56	login	myworkstation.local
	DATE: [2020-05-04] ---
		00:01:25	logout	webserver.local
		20:51:13	logout	webserver.local
		22:19:37	login	webserver.local
	DATE: [2020-05-19] ---
		15:21:23	logout	myworkstation.local
		02:16:02	login	myworkstation.local
		07:05:31	logout	myworkstation.local
	DATE: [2020-05-26] ---
		17:54:18	logout	myworkstation.local
		21:44:25	logout	myworkstation.local
		22:13:42	login	myworkstation.local
	DATE: [2020-05-30] ---
		02:49:19	login	mailserver.local
		20:00:24	logout	mailserver.local
		22:47:37	login	mailserver.local
		23:37:45	logout	mailserver.local
		09:15:53	logout	mailserver.local
sherriann.goelz@spacemart.com	7
	DATE: [2020-05-02] ---
		00:01:50	login	myworkstation.local
		13:57:05	logout	myworkstation.local
		14:32:58	logout	myworkstation.local
	DATE: [2020-05-06] ---
		22:51:16	logout	webserver.local
		06:22:35	login	webserver.local
		08:37:38	logout	webserver.local
	DATE: [2020-05-08] ---
		16:11:50	logout	myworkstation.local
		04:00:29	logout	myworkstation.local
		06:34:23	login	myworkstation.local
	DATE: [2020-05-15] ---
		10:44:38	logout	webserver.local
		10:45:54	logout	webserver.local
		13:32:40	login	webserver.local
	DATE: [2020-05-15] ---
		16:26:56	login	mailserver.local
		02:48:12	logout	mailserver.local
		09:04:58	logout	mailserver.local
	DATE: [2020-05-22] ---
		11:25:08	logout	webserver.local
		15:46:04	logout	webserver.local
		19:46:08	login	webserver.local
	DATE: [2020-05-24] ---
		00:10:32	logout	mailserver.local
		11:11:39	login	mailserver.local
		13:16:35	logout	mailserver.local
		05:33:40	logout	mailserver.local
		05:37:54	login	mailserver.local
catherina.rowles@mail2zambia.com	6
	DATE: [2020-05-02] ---
		12:11:27	login	myworkstation.local
		14:50:18	logout	myworkstation.local
		02:59:07	logout	myworkstation.local
	DATE: [2020-05-16] ---
		22:25:54	logout	mailserver.local
		22:28:22	logout	mailserver.local
		08:41:54	login	mailserver.local
	DATE: [2020-05-21] ---
		12:35:27	logout	webserver.local
		17:22:57	login	webserver.local
		17:30:07	logout	webserver.local
	DATE: [2020-05-28] ---
		00:34:29	login	myworkstation.local
		19:58:25	logout	myworkstation.local
		03:09:28	logout	myworkstation.local
	DATE: [2020-05-28] ---
		00:29:55	logout	mailserver.local
		12:58:20	login	mailserver.local
		16:24:16	logout	mailserver.local
		21:07:29	logout	mailserver.local
		22:18:38	logout	mailserver.local
		03:06:16	logout	mailserver.local
	DATE: [2020-05-30] ---
		11:45:46	logout	myworkstation.local
		13:59:38	login	myworkstation.local
		07:21:19	logout	myworkstation.local
keshawn.zimmerman@mail2zambia.com	8
	DATE: [2020-05-02] ---
		12:13:24	login	myworkstation.local
		14:23:09	logout	myworkstation.local
		02:20:32	logout	myworkstation.local
		09:56:12	logout	myworkstation.local
	DATE: [2020-05-08] ---
		00:46:18	logout	myworkstation.local
		19:43:37	login	myworkstation.local
		04:18:39	logout	myworkstation.local
		05:02:26	logout	myworkstation.local
	DATE: [2020-05-11] ---
		10:10:19	login	mailserver.local
		14:16:49	logout	mailserver.local
		07:30:52	logout	mailserver.local
	DATE: [2020-05-17] ---
		11:00:10	login	webserver.local
		11:05:07	logout	webserver.local
		17:18:32	logout	webserver.local
	DATE: [2020-05-17] ---
		13:30:30	logout	mailserver.local
		23:12:55	login	mailserver.local
		06:31:10	logout	mailserver.local
	DATE: [2020-05-24] ---
		00:30:43	logout	webserver.local
		01:18:49	logout	webserver.local
		08:38:36	login	webserver.local
		09:34:17	logout	webserver.local
	DATE: [2020-05-28] ---
		00:54:58	login	myworkstation.local
		15:41:45	logout	myworkstation.local
		20:18:51	logout	myworkstation.local
	DATE: [2020-05-30] ---
		10:41:52	logout	myworkstation.local
		21:49:24	login	myworkstation.local
		06:03:53	logout	myworkstation.local
rayon.crumly@mail2champaign.com	5
	DATE: [2020-05-02] ---
		16:53:28	logout	myworkstation.local
		18:42:51	login	myworkstation.local
		07:23:49	logout	myworkstation.local
	DATE: [2020-05-24] ---
		21:34:38	logout	myworkstation.local
		03:41:51	logout	myworkstation.local
		07:37:08	login	myworkstation.local
	DATE: [2020-05-25] ---
		18:57:22	logout	myworkstation.local
		02:26:21	login	myworkstation.local
		20:48:59	logout	myworkstation.local
	DATE: [2020-05-28] ---
		17:04:43	logout	webserver.local
		05:10:57	login	webserver.local
		07:08:13	logout	webserver.local
	DATE: [2020-05-28] ---
		00:52:53	logout	myworkstation.local
		22:13:59	logout	myworkstation.local
		09:42:50	login	myworkstation.local
melaina.valencia@gmx.net	4
	DATE: [2020-05-02] ---
		21:11:51	logout	myworkstation.local
		21:15:51	logout	myworkstation.local
		23:09:31	logout	myworkstation.local
		03:51:53	login	myworkstation.local
	DATE: [2020-05-21] ---
		10:16:48	logout	mailserver.local
		12:35:55	login	mailserver.local
		19:25:35	logout	mailserver.local
		04:15:52	logout	mailserver.local
	DATE: [2020-05-24] ---
		16:32:28	logout	mailserver.local
		18:33:29	login	mailserver.local
		23:15:17	logout	mailserver.local
	DATE: [2020-05-29] ---
		13:03:48	login	myworkstation.local
		05:56:32	logout	myworkstation.local
		07:07:36	logout	myworkstation.local
masiel.goelz@freesurf.fr	1
	DATE: [2020-05-02] ---
		12:35:04	logout	myworkstation.local
		23:42:30	logout	myworkstation.local
		08:00:01	login	myworkstation.local
kirsten.zawistowski@gmx.net	2
	DATE: [2020-05-02] ---
		10:58:23	logout	mailserver.local
		09:34:51	login	mailserver.local
		09:36:20	logout	mailserver.local
	DATE: [2020-05-18] ---
		01:58:42	logout	mailserver.local
		12:07:48	login	mailserver.local
		06:28:53	logout	mailserver.local
queen.ham@quiklinks.com	2
	DATE: [2020-05-03] ---
		12:47:36	logout	mailserver.local
		18:54:21	logout	mailserver.local
		20:20:57	login	mailserver.local
	DATE: [2020-05-27] ---
		16:33:30	login	mailserver.local
		02:28:48	logout	mailserver.local
		09:04:06	logout	mailserver.local
karlita.pedretti@yahoo.com.mx	4
	DATE: [2020-05-03] ---
		18:04:30	logout	mailserver.local
		03:14:35	login	mailserver.local
		09:28:39	logout	mailserver.local
	DATE: [2020-05-04] ---
		18:46:29	login	myworkstation.local
		22:18:00	logout	myworkstation.local
		09:55:47	logout	myworkstation.local
	DATE: [2020-05-20] ---
		10:20:00	logout	mailserver.local
		11:33:14	logout	mailserver.local
		11:46:17	logout	mailserver.local
		19:17:33	login	mailserver.local
	DATE: [2020-05-27] ---
		15:49:54	logout	webserver.local
		23:11:58	logout	webserver.local
		07:44:49	logout	webserver.local
		08:53:06	login	webserver.local
dalilah.ulatowski@angelfan.com	3
	DATE: [2020-05-04] ---
		01:43:14	logout	mailserver.local
		23:48:20	logout	mailserver.local
		05:38:12	login	mailserver.local
	DATE: [2020-05-19] ---
		11:33:03	logout	webserver.local
		14:21:57	logout	webserver.local
		04:54:38	login	webserver.local
	DATE: [2020-05-21] ---
		00:53:16	login	mailserver.local
		01:51:56	logout	mailserver.local
		18:18:15	logout	mailserver.local
		08:44:36	logout	mailserver.local
melaina.gabeline@yahoo.com.mx	1
	DATE: [2020-05-05] ---
		12:39:38	login	mailserver.local
		22:00:19	logout	mailserver.local
		22:04:57	logout	mailserver.local
remington.caffrey@estranet.it	3
	DATE: [2020-05-05] ---
		15:51:02	logout	webserver.local
		22:44:56	login	webserver.local
		05:21:08	logout	webserver.local
	DATE: [2020-05-15] ---
		21:19:05	login	myworkstation.local
		21:28:17	logout	myworkstation.local
		05:16:28	logout	myworkstation.local
	DATE: [2020-05-28] ---
		01:31:22	logout	mailserver.local
		04:59:19	login	mailserver.local
		06:35:27	logout	mailserver.local
aprilmarie.ulatowski@freesurf.fr	1
	DATE: [2020-05-06] ---
		14:52:54	login	webserver.local
		03:57:12	logout	webserver.local
		07:54:10	logout	webserver.local
xandria.cassetty@mail2zambia.com	3
	DATE: [2020-05-06] ---
		01:25:49	logout	webserver.local
		10:38:52	logout	webserver.local
		20:59:29	login	webserver.local
	DATE: [2020-05-21] ---
		00:55:04	login	webserver.local
		16:43:36	logout	webserver.local
		17:25:27	logout	webserver.local
		21:18:06	logout	webserver.local
	DATE: [2020-05-26] ---
		01:29:32	logout	myworkstation.local
		06:34:01	login	myworkstation.local
		09:05:54	logout	myworkstation.local
tarrin.scoma@gmx.net	4
	DATE: [2020-05-06] ---
		01:20:30	logout	mailserver.local
		14:18:56	logout	mailserver.local
		14:37:34	logout	mailserver.local
		04:32:17	login	mailserver.local
	DATE: [2020-05-19] ---
		02:33:48	logout	webserver.local
		02:52:31	logout	webserver.local
		09:10:28	login	webserver.local
	DATE: [2020-05-23] ---
		18:42:59	login	webserver.local
		02:02:18	logout	webserver.local
		20:23:18	logout	webserver.local
	DATE: [2020-05-25] ---
		05:00:58	login	webserver.local
		06:54:44	logout	webserver.local
		09:38:51	logout	webserver.local
miguel.fragman@yahoo.com.mx	2
	DATE: [2020-05-07] ---
		14:12:30	login	mailserver.local
		21:44:30	logout	mailserver.local
		22:33:47	logout	mailserver.local
	DATE: [2020-05-30] ---
		22:53:01	logout	webserver.local
		08:15:57	login	webserver.local
		08:19:18	logout	webserver.local
delphine.hillebrand@mail2emergency.com	5
	DATE: [2020-05-07] ---
		16:57:35	logout	myworkstation.local
		22:00:10	login	myworkstation.local
		06:41:40	logout	myworkstation.local
	DATE: [2020-05-11] ---
		00:36:32	logout	myworkstation.local
		01:15:43	logout	myworkstation.local
		01:34:50	logout	myworkstation.local
		10:53:10	login	myworkstation.local
		11:20:39	login	myworkstation.local
	DATE: [2020-05-16] ---
		01:43:09	login	webserver.local
		14:19:05	logout	webserver.local
		16:52:56	logout	webserver.local
	DATE: [2020-05-18] ---
		14:04:30	logout	webserver.local
		07:26:19	logout	webserver.local
		08:25:58	login	webserver.local
	DATE: [2020-05-30] ---
		15:24:47	login	webserver.local
		04:04:00	logout	webserver.local
		06:09:39	logout	webserver.local
loriann.ryba@mail2perry.com	1
	DATE: [2020-05-07] ---
		10:28:59	logout	mailserver.local
		17:54:56	logout	mailserver.local
		04:18:01	login	mailserver.local
daysha.telleria@freesurf.fr	2
	DATE: [2020-05-07] ---
		17:08:07	logout	webserver.local
		05:13:43	login	webserver.local
		09:22:23	logout	webserver.local
		09:34:15	logout	webserver.local
	DATE: [2020-05-24] ---
		01:03:35	login	webserver.local
		12:07:43	logout	webserver.local
		07:16:15	logout	webserver.local
fredricka.twine@estranet.it	2
	DATE: [2020-05-08] ---
		14:45:46	login	myworkstation.local
		19:42:37	logout	myworkstation.local
		07:39:32	logout	myworkstation.local
	DATE: [2020-05-17] ---
		12:26:47	logout	myworkstation.local
		08:16:20	login	myworkstation.local
		08:44:11	logout	myworkstation.local
maximiliano.mancell@spacemart.com	5
	DATE: [2020-05-08] ---
		13:01:36	logout	myworkstation.local
		02:20:10	login	myworkstation.local
		22:48:53	logout	myworkstation.local
	DATE: [2020-05-12] ---
		16:37:12	login	webserver.local
		03:40:24	logout	webserver.local
		08:27:59	logout	webserver.local
	DATE: [2020-05-16] ---
		01:40:09	login	myworkstation.local
		01:51:56	logout	myworkstation.local
		16:23:23	logout	myworkstation.local
	DATE: [2020-05-23] ---
		10:59:51	logout	myworkstation.local
		11:21:42	logout	myworkstation.local
		17:49:26	login	myworkstation.local
	DATE: [2020-05-28] ---
		01:50:20	logout	webserver.local
		15:40:35	logout	webserver.local
		06:01:29	login	webserver.local
nyeshia.weinstock@theraces.com	3
	DATE: [2020-05-08] ---
		18:38:03	logout	myworkstation.local
		22:11:00	login	myworkstation.local
		09:07:10	logout	myworkstation.local
	DATE: [2020-05-13] ---
		01:58:01	login	myworkstation.local
		02:08:45	logout	myworkstation.local
		20:35:46	logout	myworkstation.local
	DATE: [2020-05-20] ---
		11:52:25	logout	webserver.local
		23:39:50	login	webserver.local
		06:10:59	logout	webserver.local
		07:41:16	logout	webserver.local
lupe.gave@freesurf.fr	6
	DATE: [2020-05-08] ---
		17:43:17	logout	webserver.local
		05:12:08	login	webserver.local
		09:24:03	logout	webserver.local
	DATE: [2020-05-11] ---
		01:58:36	logout	myworkstation.local
		15:04:32	logout	myworkstation.local
		18:47:44	login	myworkstation.local
	DATE: [2020-05-12] ---
		01:16:04	login	myworkstation.local
		21:36:35	logout	myworkstation.local
		04:50:33	logout	myworkstation.local
		05:21:39	logout	myworkstation.local
	DATE: [2020-05-14] ---
		16:58:10	login	webserver.local
		17:26:12	logout	webserver.local
		19:45:13	logout	webserver.local
	DATE: [2020-05-14] ---
		10:29:01	logout	myworkstation.local
		19:09:07	login	myworkstation.local
		06:11:41	logout	myworkstation.local
	DATE: [2020-05-29] ---
		12:17:21	logout	myworkstation.local
		14:20:24	login	myworkstation.local
		20:43:45	logout	myworkstation.local
breena.benassi@gmx.net	4
	DATE: [2020-05-09] ---
		00:05:12	login	mailserver.local
		11:46:07	logout	mailserver.local
		04:09:27	logout	mailserver.local
		08:44:58	logout	mailserver.local
	DATE: [2020-05-19] ---
		04:48:27	login	mailserver.local
		05:30:05	logout	mailserver.local
		07:22:16	logout	mailserver.local
	DATE: [2020-05-21] ---
		15:32:02	login	webserver.local
		06:03:03	logout	webserver.local
		08:55:55	logout	webserver.local
	DATE: [2020-05-29] ---
		12:06:30	logout	myworkstation.local
		17:38:17	login	myworkstation.local
		08:43:55	logout	myworkstation.local
daysha.karshner@blacksburg.net	3
	DATE: [2020-05-09] ---
		00:54:56	login	myworkstation.local
		20:10:19	logout	myworkstation.local
		22:59:16	logout	myworkstation.local
	DATE: [2020-05-22] ---
		00:36:16	login	myworkstation.local
		10:28:17	logout	myworkstation.local
		14:09:11	logout	myworkstation.local
		17:50:47	logout	myworkstation.local
		17:55:34	login	myworkstation.local
	DATE: [2020-05-25] ---
		01:04:34	logout	myworkstation.local
		18:24:29	login	myworkstation.local
		09:11:30	logout	myworkstation.local
rob.weinstock@miho-nakayama.com	4
	DATE: [2020-05-09] ---
		16:59:59	logout	webserver.local
		18:11:35	login	webserver.local
		23:19:44	login	webserver.local
		03:29:35	logout	webserver.local
		05:26:39	logout	webserver.local
	DATE: [2020-05-10] ---
		15:10:50	login	webserver.local
		19:13:52	logout	webserver.local
		22:25:19	logout	webserver.local
	DATE: [2020-05-12] ---
		15:21:05	logout	webserver.local
		16:24:50	logout	webserver.local
		23:15:50	logout	webserver.local
		23:52:27	login	webserver.local
	DATE: [2020-05-28] ---
		01:50:11	login	webserver.local
		14:32:18	logout	webserver.local
		21:55:10	logout	webserver.local
torrell.mckown@miho-nakayama.com	5
	DATE: [2020-05-09] ---
		19:45:08	logout	webserver.local
		21:04:42	login	webserver.local
		06:43:13	logout	webserver.local
	DATE: [2020-05-14] ---
		01:50:57	login	myworkstation.local
		12:56:16	logout	myworkstation.local
		17:36:24	logout	myworkstation.local
	DATE: [2020-05-15] ---
		13:26:45	logout	myworkstation.local
		15:59:08	logout	myworkstation.local
		07:39:55	login	myworkstation.local
	DATE: [2020-05-21] ---
		01:17:05	logout	webserver.local
		18:41:54	logout	webserver.local
		20:46:02	logout	webserver.local
		22:19:51	login	webserver.local
		07:08:42	login	webserver.local
	DATE: [2020-05-30] ---
		23:50:24	logout	mailserver.local
		06:12:14	login	mailserver.local
		08:34:07	logout	mailserver.local
torrell.burreson@miho-nakayama.com	4
	DATE: [2020-05-10] ---
		00:59:25	logout	webserver.local
		10:10:23	login	webserver.local
		11:50:39	logout	webserver.local
	DATE: [2020-05-11] ---
		13:37:11	login	myworkstation.local
		20:27:58	logout	myworkstation.local
		22:59:08	logout	myworkstation.local
		23:07:55	logout	myworkstation.local
		07:18:29	logout	myworkstation.local
	DATE: [2020-05-23] ---
		01:09:43	login	myworkstation.local
		16:34:40	logout	myworkstation.local
		02:57:22	logout	myworkstation.local
		21:27:27	login	myworkstation.local
		05:24:37	logout	myworkstation.local
	DATE: [2020-05-29] ---
		14:10:36	logout	myworkstation.local
		17:33:37	logout	myworkstation.local
		02:15:00	login	myworkstation.local
sevan.stephco@miho-nakayama.com	3
	DATE: [2020-05-10] ---
		22:06:48	logout	myworkstation.local
		07:14:19	logout	myworkstation.local
		07:51:29	login	myworkstation.local
	DATE: [2020-05-21] ---
		03:09:13	login	myworkstation.local
		03:19:30	logout	myworkstation.local
		09:40:28	logout	myworkstation.local
	DATE: [2020-05-26] ---
		13:29:07	logout	myworkstation.local
		18:14:35	logout	myworkstation.local
		19:21:13	login	myworkstation.local
		06:18:26	login	myworkstation.local
		07:34:42	logout	myworkstation.local
mieko.alcosiba@quiklinks.com	6
	DATE: [2020-05-11] ---
		10:22:26	logout	webserver.local
		11:29:51	logout	webserver.local
		16:04:55	login	webserver.local
	DATE: [2020-05-11] ---
		14:46:26	logout	myworkstation.local
		14:57:42	logout	myworkstation.local
		16:40:48	login	myworkstation.local
	DATE: [2020-05-16] ---
		00:16:11	login	myworkstation.local
		19:03:07	logout	myworkstation.local
		22:05:55	logout	myworkstation.local
	DATE: [2020-05-18] ---
		00:24:03	logout	mailserver.local
		22:32:53	logout	mailserver.local
		07:14:35	login	mailserver.local
	DATE: [2020-05-21] ---
		10:34:54	logout	myworkstation.local
		19:08:13	login	myworkstation.local
		22:18:35	logout	myworkstation.local
	DATE: [2020-05-30] ---
		18:55:28	login	mailserver.local
		06:12:20	logout	mailserver.local
		07:43:38	logout	mailserver.local
queen.sirucek@mail2emergency.com	4
	DATE: [2020-05-11] ---
		18:40:37	logout	webserver.local
		22:45:13	logout	webserver.local
		23:53:29	login	webserver.local
	DATE: [2020-05-13] ---
		11:42:55	logout	mailserver.local
		21:18:44	logout	mailserver.local
		08:27:04	login	mailserver.local
	DATE: [2020-05-17] ---
		19:15:27	login	myworkstation.local
		19:34:49	logout	myworkstation.local
		21:34:55	logout	myworkstation.local
	DATE: [2020-05-21] ---
		13:07:27	login	mailserver.local
		21:08:56	logout	mailserver.local
		06:40:38	logout	mailserver.local
rebakah.evanoff@theraces.com	2
	DATE: [2020-05-11] ---
		02:59:11	logout	myworkstation.local
		05:17:31	login	myworkstation.local
		09:31:10	logout	myworkstation.local
	DATE: [2020-05-12] ---
		12:04:10	login	myworkstation.local
		15:53:18	logout	myworkstation.local
		09:38:10	logout	myworkstation.local
		09:50:55	logout	myworkstation.local
daysha.hillebrand@quiklinks.com	5
	DATE: [2020-05-11] ---
		19:41:59	logout	myworkstation.local
		22:03:40	logout	myworkstation.local
		23:19:53	logout	myworkstation.local
		05:46:05	login	myworkstation.local
	DATE: [2020-05-14] ---
		01:55:21	login	myworkstation.local
		17:43:27	logout	myworkstation.local
		09:54:50	logout	myworkstation.local
	DATE: [2020-05-16] ---
		13:36:06	logout	myworkstation.local
		18:27:16	login	myworkstation.local
		04:49:42	logout	myworkstation.local
	DATE: [2020-05-23] ---
		19:57:35	logout	mailserver.local
		02:13:56	logout	mailserver.local
		07:20:32	login	mailserver.local
	DATE: [2020-05-24] ---
		11:05:54	logout	myworkstation.local
		16:16:57	login	myworkstation.local
		05:48:53	logout	myworkstation.local
isiah.walson@yahoo.com.mx	5
	DATE: [2020-05-11] ---
		05:02:22	logout	webserver.local
		06:05:02	login	webserver.local
		07:58:43	logout	webserver.local
	DATE: [2020-05-13] ---
		16:14:37	logout	webserver.local
		23:09:18	login	webserver.local
		07:51:47	logout	webserver.local
	DATE: [2020-05-14] ---
		00:15:14	logout	mailserver.local
		11:24:14	login	mailserver.local
		23:11:36	logout	mailserver.local
	DATE: [2020-05-20] ---
		13:10:10	logout	myworkstation.local
		20:33:42	login	myworkstation.local
		04:19:45	logout	myworkstation.local
	DATE: [2020-05-23] ---
		00:04:13	logout	myworkstation.local
		11:02:35	login	myworkstation.local
		23:43:14	logout	myworkstation.local
maryelizabeth.stassen@freesurf.fr	3
	DATE: [2020-05-13] ---
		14:37:28	login	myworkstation.local
		15:51:18	logout	myworkstation.local
		19:38:42	logout	myworkstation.local
	DATE: [2020-05-23] ---
		10:13:54	login	webserver.local
		12:12:31	logout	webserver.local
		04:18:42	logout	webserver.local
	DATE: [2020-05-29] ---
		13:12:07	login	mailserver.local
		16:54:55	logout	mailserver.local
		22:41:41	logout	mailserver.local
jakara.pedretti@mail2srilanka.com	3
	DATE: [2020-05-16] ---
		00:53:43	logout	webserver.local
		13:03:50	logout	webserver.local
		13:24:26	login	webserver.local
		15:28:03	logout	webserver.local
		04:29:20	logout	webserver.local
	DATE: [2020-05-17] ---
		19:48:10	login	mailserver.local
		20:46:59	logout	mailserver.local
		05:36:19	logout	mailserver.local
	DATE: [2020-05-19] ---
		11:10:25	logout	webserver.local
		11:13:35	logout	webserver.local
		06:55:17	login	webserver.local
isiah.baltazor@miho-nakayama.com	2
	DATE: [2020-05-21] ---
		15:25:25	logout	myworkstation.local
		17:00:48	login	myworkstation.local
		03:09:38	logout	myworkstation.local
	DATE: [2020-05-24] ---
		22:39:58	logout	webserver.local
		03:24:22	logout	webserver.local
		05:58:36	login	webserver.local
tarrin.naysmith@mail2champaign.com	1
	DATE: [2020-05-22] ---
		13:54:44	logout	myworkstation.local
		17:13:34	logout	myworkstation.local
		08:48:41	logout	myworkstation.local
		08:58:15	login	myworkstation.local
jarita.lokhmator@mail2srilanka.com	2
	DATE: [2020-05-24] ---
		15:30:55	logout	webserver.local
		16:27:49	login	webserver.local
		17:14:24	logout	webserver.local
	DATE: [2020-05-26] ---
		17:50:47	login	mailserver.local
		21:51:32	logout	mailserver.local
		22:10:30	logout	mailserver.local
		07:45:55	logout	mailserver.local
maryelizabeth.ryba@freesurf.fr	1
	DATE: [2020-05-24] ---
		17:10:40	login	mailserver.local
		21:18:46	logout	mailserver.local
		07:16:45	logout	mailserver.local
