===============================
=== Irresponsible Behavior (157 cases) ===
===============================
lupe.gave@freesurf.fr	2
		04:43:53	login	myworkstation.local
		06:00:09	logout	myworkstation.local
	DATE: [2020-05-30] ---
		10:01:11	login	myworkstation.local
		18:36:50	login	myworkstation.local
		05:30:51	logout	myworkstation.local
masiel.goelz@freesurf.fr		3
	DATE: [2020-05-02] ---
		01:50:26	login	mailserver.local
		08:39:50	logout	mailserver.local
		09:03:31	login	mailserver.local
	DATE: [2020-05-18] ---
		04:47:19	login	myworkstation.local
		06:29:57	login	myworkstation.local
		07:49:59	logout	myworkstation.local
	DATE: [2020-05-29] ---
		12:49:53	login	mailserver.local
		23:31:14	login	mailserver.local
		08:06:34	logout	mailserver.local
melaina.gabeline@yahoo.com.mx	8
	DATE: [2020-05-02] ---
		12:19:54	logout	myworkstation.local
		13:30:23	login	myworkstation.local
		14:51:49	login	myworkstation.local
		07:58:37	login	myworkstation.local
	DATE: [2020-05-03] ---
		19:15:55	login	webserver.local
		22:27:18	login	webserver.local
		23:48:50	login	webserver.local
		07:51:17	logout	webserver.local
		08:15:50	login	webserver.local
	DATE: [2020-05-08] ---
		12:07:16	login	mailserver.local
		14:00:55	login	mailserver.local
		19:33:20	logout	mailserver.local
		22:40:56	login	mailserver.local
	DATE: [2020-05-09] ---
		18:53:42	login	mailserver.local
		03:04:02	login	mailserver.local
		04:34:31	logout	mailserver.local
	DATE: [2020-05-21] ---
		05:29:29	logout	myworkstation.local
		05:39:53	login	myworkstation.local
		07:45:28	login	myworkstation.local
	DATE: [2020-05-23] ---
		14:59:22	login	myworkstation.local
		16:03:27	login	myworkstation.local
		17:59:15	logout	myworkstation.local
	DATE: [2020-05-24] ---
		16:20:13	logout	mailserver.local
		17:32:29	login	mailserver.local
		20:41:25	login	mailserver.local
	DATE: [2020-05-26] ---
		21:36:22	login	webserver.local
		09:54:49	logout	webserver.local
		09:55:14	login	webserver.local
karlita.pedretti@yahoo.com.mx	4
	DATE: [2020-05-02] ---
		14:45:32	logout	mailserver.local
		17:59:50	login	mailserver.local
		23:28:16	login	mailserver.local
		03:58:03	login	mailserver.local
	DATE: [2020-05-03] ---
		12:16:44	logout	webserver.local
		20:39:45	login	webserver.local
		21:08:42	login	webserver.local
	DATE: [2020-05-04] ---
		12:53:35	login	mailserver.local
		16:29:29	logout	mailserver.local
		23:39:53	login	mailserver.local
		03:46:03	login	mailserver.local
	DATE: [2020-05-05] ---
		15:25:08	login	mailserver.local
		06:54:14	logout	mailserver.local
		08:30:52	login	mailserver.local
daysha.karshner@blacksburg.net	2
	DATE: [2020-05-02] ---
		17:45:21	logout	mailserver.local
		19:57:12	login	mailserver.local
		23:00:35	login	mailserver.local
		09:53:53	login	mailserver.local
	DATE: [2020-05-25] ---
		18:00:45	logout	mailserver.local
		22:30:40	login	mailserver.local
		08:35:47	login	mailserver.local
fredricka.twine@estranet.it	5
	DATE: [2020-05-02] ---
		02:18:48	login	myworkstation.local
		08:38:25	logout	myworkstation.local
		09:49:03	login	myworkstation.local
	DATE: [2020-05-03] ---
		18:00:43	login	myworkstation.local
		21:00:24	logout	myworkstation.local
		07:38:32	login	myworkstation.local
	DATE: [2020-05-09] ---
		20:24:38	login	myworkstation.local
		22:48:27	logout	myworkstation.local
		08:17:33	login	myworkstation.local
	DATE: [2020-05-11] ---
		14:31:40	login	webserver.local
		16:18:00	logout	webserver.local
		04:48:05	login	webserver.local
	DATE: [2020-05-25] ---
		00:33:17	logout	mailserver.local
		21:47:18	login	mailserver.local
		05:04:18	login	mailserver.local
sherriann.goelz@spacemart.com	2
	DATE: [2020-05-02] ---
		03:51:59	login	mailserver.local
		05:41:10	logout	mailserver.local
		06:49:54	login	mailserver.local
	DATE: [2020-05-30] ---
		12:02:47	logout	webserver.local
		13:14:07	login	webserver.local
		22:49:37	login	webserver.local
kirsten.pflughoeft@mail2srilanka.com	4
	DATE: [2020-05-03] ---
		10:10:54	logout	mailserver.local
		13:22:02	login	mailserver.local
		20:39:08	login	mailserver.local
		23:59:20	login	mailserver.local
	DATE: [2020-05-10] ---
		22:47:23	login	webserver.local
		03:16:32	logout	webserver.local
		06:30:52	login	webserver.local
	DATE: [2020-05-19] ---
		14:44:01	login	webserver.local
		18:09:17	login	webserver.local
		19:10:07	logout	webserver.local
	DATE: [2020-05-22] ---
		13:26:33	logout	myworkstation.local
		15:06:44	login	myworkstation.local
		19:23:48	login	myworkstation.local
dalilah.ulatowski@angelfan.com	3
	DATE: [2020-05-03] ---
		14:15:00	logout	myworkstation.local
		19:11:51	login	myworkstation.local
		04:58:27	login	myworkstation.local
	DATE: [2020-05-12] ---
		02:59:53	logout	mailserver.local
		03:10:09	login	mailserver.local
		09:22:09	login	mailserver.local
	DATE: [2020-05-30] ---
		12:36:24	login	mailserver.local
		03:59:10	login	mailserver.local
		07:57:19	logout	mailserver.local
queen.sirucek@mail2emergency.com	3
	DATE: [2020-05-04] ---
		01:15:20	login	mailserver.local
		11:37:24	login	mailserver.local
		16:08:27	logout	mailserver.local
		21:54:42	login	mailserver.local
		23:52:03	logout	mailserver.local
	DATE: [2020-05-06] ---
		20:35:33	login	myworkstation.local
		08:47:31	login	myworkstation.local
		09:59:18	logout	myworkstation.local
	DATE: [2020-05-23] ---
		10:27:39	logout	mailserver.local
		04:50:07	login	mailserver.local
		06:59:41	login	mailserver.local
torrell.mckown@miho-nakayama.com	8
	DATE: [2020-05-04] ---
		10:08:15	login	myworkstation.local
		05:23:31	login	myworkstation.local
		06:58:18	logout	myworkstation.local
	DATE: [2020-05-08] ---
		12:28:18	logout	webserver.local
		02:55:33	login	webserver.local
		07:42:02	login	webserver.local
	DATE: [2020-05-13] ---
		11:59:06	login	myworkstation.local
		13:56:25	login	myworkstation.local
		17:21:18	login	myworkstation.local
		20:37:45	logout	myworkstation.local
	DATE: [2020-05-13] ---
		10:50:43	logout	webserver.local
		18:01:31	login	webserver.local
		02:42:37	login	webserver.local
	DATE: [2020-05-18] ---
		17:22:45	logout	myworkstation.local
		02:23:45	login	myworkstation.local
		20:43:04	login	myworkstation.local
	DATE: [2020-05-23] ---
		01:27:52	login	myworkstation.local
		01:57:08	login	myworkstation.local
		13:23:35	logout	myworkstation.local
		15:42:18	login	myworkstation.local
		16:41:10	login	myworkstation.local
		02:23:45	logout	myworkstation.local
	DATE: [2020-05-24] ---
		11:59:55	login	myworkstation.local
		18:49:34	logout	myworkstation.local
		07:23:18	login	myworkstation.local
	DATE: [2020-05-29] ---
		13:04:47	login	myworkstation.local
		19:00:33	logout	myworkstation.local
		19:55:04	login	myworkstation.local
isiah.baltazor@miho-nakayama.com	3
	DATE: [2020-05-04] ---
		00:59:39	logout	myworkstation.local
		17:16:38	login	myworkstation.local
		19:30:48	login	myworkstation.local
	DATE: [2020-05-06] ---
		21:43:46	login	mailserver.local
		08:16:54	logout	mailserver.local
		08:58:14	login	mailserver.local
	DATE: [2020-05-09] ---
		12:09:21	login	myworkstation.local
		19:47:23	login	myworkstation.local
		05:47:57	logout	myworkstation.local
jakara.pedretti@mail2srilanka.com	7
	DATE: [2020-05-05] ---
		00:21:27	login	mailserver.local
		02:26:31	logout	mailserver.local
		05:43:27	login	mailserver.local
	DATE: [2020-05-11] ---
		14:25:50	login	myworkstation.local
		16:49:01	login	myworkstation.local
		22:25:04	login	myworkstation.local
		23:31:45	logout	myworkstation.local
		03:33:40	login	myworkstation.local
	DATE: [2020-05-13] ---
		00:50:18	login	myworkstation.local
		14:27:56	login	myworkstation.local
		14:53:12	logout	myworkstation.local
	DATE: [2020-05-15] ---
		01:10:24	logout	mailserver.local
		22:57:17	login	mailserver.local
		05:12:49	login	mailserver.local
	DATE: [2020-05-16] ---
		13:03:33	logout	myworkstation.local
		17:23:41	login	myworkstation.local
		21:44:52	login	myworkstation.local
	DATE: [2020-05-21] ---
		11:32:29	logout	mailserver.local
		22:25:39	login	mailserver.local
		08:20:43	login	mailserver.local
	DATE: [2020-05-28] ---
		10:02:49	logout	mailserver.local
		13:10:38	login	mailserver.local
		03:44:24	login	mailserver.local
daysha.telleria@freesurf.fr	3
	DATE: [2020-05-05] ---
		10:11:27	login	webserver.local
		02:01:18	login	webserver.local
		23:27:09	logout	webserver.local
	DATE: [2020-05-06] ---
		15:30:04	login	webserver.local
		15:42:05	login	webserver.local
		16:27:08	logout	webserver.local
	DATE: [2020-05-08] ---
		19:13:51	logout	myworkstation.local
		19:55:07	login	myworkstation.local
		22:43:12	login	myworkstation.local
tarrin.scoma@gmx.net	1
	DATE: [2020-05-05] ---
		14:43:15	login	mailserver.local
		15:53:09	login	mailserver.local
		03:17:35	logout	mailserver.local
rebakah.evanoff@theraces.com	1
	DATE: [2020-05-05] ---
		17:50:19	logout	myworkstation.local
		18:08:16	login	myworkstation.local
		22:51:14	login	myworkstation.local
isiah.walson@yahoo.com.mx	3
	DATE: [2020-05-05] ---
		15:03:03	logout	webserver.local
		04:03:05	login	webserver.local
		07:22:26	login	webserver.local
	DATE: [2020-05-19] ---
		14:19:57	logout	mailserver.local
		22:10:41	login	mailserver.local
		07:32:05	login	mailserver.local
	DATE: [2020-05-29] ---
		14:56:42	login	myworkstation.local
		02:22:30	login	myworkstation.local
		21:54:30	logout	myworkstation.local
		06:01:10	login	myworkstation.local
olusegun.flemmings@theraces.com	4
	DATE: [2020-05-05] ---
		10:05:38	logout	webserver.local
		04:12:39	login	webserver.local
		05:02:08	login	webserver.local
	DATE: [2020-05-20] ---
		14:30:10	login	webserver.local
		19:32:33	logout	webserver.local
		02:39:55	login	webserver.local
		21:29:29	login	webserver.local
	DATE: [2020-05-23] ---
		17:36:09	login	webserver.local
		20:01:11	login	webserver.local
		21:24:18	login	webserver.local
		03:14:03	logout	webserver.local
	DATE: [2020-05-30] ---
		18:19:17	login	mailserver.local
		22:25:25	login	mailserver.local
		03:31:14	logout	mailserver.local
remington.gabeline@mail2srilanka.com	1
	DATE: [2020-05-06] ---
		00:17:26	login	webserver.local
		23:57:08	login	webserver.local
		03:17:10	login	webserver.local
		04:55:46	logout	webserver.local
aubrea.corridoni@yahoo.com.mx	2
	DATE: [2020-05-06] ---
		00:36:36	login	mailserver.local
		12:34:27	logout	mailserver.local
		15:49:43	login	mailserver.local
		09:07:14	login	mailserver.local
	DATE: [2020-05-28] ---
		12:06:47	login	mailserver.local
		13:22:33	login	mailserver.local
		14:47:28	logout	mailserver.local
mieko.alcosiba@quiklinks.com	5
	DATE: [2020-05-06] ---
		01:01:37	login	mailserver.local
		02:36:02	logout	mailserver.local
		08:25:43	login	mailserver.local
	DATE: [2020-05-12] ---
		21:24:17	login	myworkstation.local
		04:46:58	logout	myworkstation.local
		09:29:58	login	myworkstation.local
	DATE: [2020-05-13] ---
		15:11:34	logout	myworkstation.local
		18:07:56	login	myworkstation.local
		19:43:29	login	myworkstation.local
		03:38:57	login	myworkstation.local
		06:43:31	login	myworkstation.local
	DATE: [2020-05-22] ---
		10:01:19	login	webserver.local
		18:01:54	login	webserver.local
		07:54:30	login	webserver.local
		09:31:42	logout	webserver.local
	DATE: [2020-05-26] ---
		00:28:44	logout	myworkstation.local
		10:09:54	login	myworkstation.local
		06:51:02	login	myworkstation.local
aprilmarie.ulatowski@freesurf.fr	4
	DATE: [2020-05-06] ---
		13:43:28	login	myworkstation.local
		15:41:05	login	myworkstation.local
		16:05:45	login	myworkstation.local
		02:59:48	logout	myworkstation.local
	DATE: [2020-05-10] ---
		01:22:28	login	myworkstation.local
		13:05:28	login	myworkstation.local
		17:16:24	login	myworkstation.local
		05:57:26	logout	myworkstation.local
	DATE: [2020-05-17] ---
		03:31:28	login	mailserver.local
		04:37:13	login	mailserver.local
		05:32:44	logout	mailserver.local
	DATE: [2020-05-26] ---
		22:14:06	login	myworkstation.local
		04:47:29	login	myworkstation.local
		06:09:37	logout	myworkstation.local
jarita.lokhmator@mail2srilanka.com	4
	DATE: [2020-05-06] ---
		19:42:13	logout	myworkstation.local
		03:41:09	login	myworkstation.local
		05:09:52	login	myworkstation.local
	DATE: [2020-05-12] ---
		15:26:27	login	mailserver.local
		19:14:22	logout	mailserver.local
		22:41:22	login	mailserver.local
		07:11:42	login	mailserver.local
	DATE: [2020-05-12] ---
		00:16:03	logout	webserver.local
		03:36:53	login	webserver.local
		09:12:45	login	webserver.local
	DATE: [2020-05-18] ---
		15:46:59	logout	webserver.local
		16:08:25	login	webserver.local
		07:48:10	login	webserver.local
melaina.valencia@gmx.net	6
	DATE: [2020-05-07] ---
		01:32:25	login	mailserver.local
		19:40:35	login	mailserver.local
		05:02:33	logout	mailserver.local
	DATE: [2020-05-07] ---
		12:40:32	login	webserver.local
		17:22:03	login	webserver.local
		05:36:42	logout	webserver.local
	DATE: [2020-05-13] ---
		21:47:50	logout	myworkstation.local
		08:36:28	login	myworkstation.local
		08:57:12	login	myworkstation.local
	DATE: [2020-05-20] ---
		16:47:27	login	mailserver.local
		19:35:09	login	mailserver.local
		20:08:14	logout	mailserver.local
		09:08:59	login	mailserver.local
	DATE: [2020-05-22] ---
		11:02:14	logout	webserver.local
		13:49:48	login	webserver.local
		18:55:33	login	webserver.local
	DATE: [2020-05-25] ---
		18:34:56	login	webserver.local
		04:13:14	logout	webserver.local
		05:28:32	login	webserver.local
nyeshia.weinstock@theraces.com	2
	DATE: [2020-05-07] ---
		10:28:58	login	webserver.local
		11:47:39	logout	webserver.local
		20:03:32	login	webserver.local
		05:18:52	login	webserver.local
	DATE: [2020-05-27] ---
		01:02:56	login	myworkstation.local
		19:04:51	login	myworkstation.local
		02:43:47	logout	myworkstation.local
miguel.fragman@yahoo.com.mx	4
	DATE: [2020-05-07] ---
		16:16:59	login	webserver.local
		16:57:20	logout	webserver.local
		23:25:50	login	webserver.local
		04:55:05	login	webserver.local
	DATE: [2020-05-12] ---
		01:25:28	logout	mailserver.local
		13:07:07	login	mailserver.local
		07:27:34	login	mailserver.local
	DATE: [2020-05-21] ---
		10:51:09	login	myworkstation.local
		13:20:49	login	myworkstation.local
		03:59:15	logout	myworkstation.local
		06:18:18	login	myworkstation.local
		07:16:27	logout	myworkstation.local
	DATE: [2020-05-28] ---
		15:25:25	login	myworkstation.local
		15:45:59	login	myworkstation.local
		02:30:57	logout	myworkstation.local
sevan.stephco@miho-nakayama.com	1
	DATE: [2020-05-08] ---
		01:12:33	login	mailserver.local
		19:34:09	logout	mailserver.local
		08:59:54	login	mailserver.local
torrell.burreson@miho-nakayama.com	3
	DATE: [2020-05-08] ---
		10:22:05	login	mailserver.local
		16:08:02	logout	mailserver.local
		19:37:43	login	mailserver.local
		04:30:41	login	mailserver.local
	DATE: [2020-05-10] ---
		13:11:54	logout	myworkstation.local
		21:07:45	login	myworkstation.local
		04:08:27	login	myworkstation.local
	DATE: [2020-05-23] ---
		16:55:06	logout	mailserver.local
		17:58:21	login	mailserver.local
		23:23:26	login	mailserver.local
queen.ham@quiklinks.com	8
	DATE: [2020-05-08] ---
		13:43:19	login	myworkstation.local
		07:24:31	logout	myworkstation.local
		07:38:46	login	myworkstation.local
	DATE: [2020-05-12] ---
		01:27:02	logout	mailserver.local
		17:02:10	login	mailserver.local
		02:50:20	login	mailserver.local
	DATE: [2020-05-13] ---
		10:44:41	login	myworkstation.local
		12:12:18	logout	myworkstation.local
		14:19:25	login	myworkstation.local
		05:59:43	login	myworkstation.local
	DATE: [2020-05-14] ---
		10:05:10	login	webserver.local
		19:54:59	logout	webserver.local
		21:43:37	login	webserver.local
	DATE: [2020-05-14] ---
		22:44:28	login	mailserver.local
		23:13:03	login	mailserver.local
		23:16:57	logout	mailserver.local
	DATE: [2020-05-15] ---
		14:39:57	login	myworkstation.local
		14:52:21	logout	myworkstation.local
		20:00:38	login	myworkstation.local
	DATE: [2020-05-24] ---
		00:51:18	logout	myworkstation.local
		20:39:29	login	myworkstation.local
		06:56:56	login	myworkstation.local
	DATE: [2020-05-28] ---
		17:17:20	logout	myworkstation.local
		02:42:44	login	myworkstation.local
		06:49:32	login	myworkstation.local
kira.pay@mail2zambia.com	3
	DATE: [2020-05-08] ---
		17:57:38	login	myworkstation.local
		20:26:50	logout	myworkstation.local
		06:37:32	login	myworkstation.local
daysha.hillebrand@quiklinks.com	2
	DATE: [2020-05-08] ---
		17:58:02	logout	mailserver.local
		19:08:59	login	mailserver.local
		02:36:38	login	mailserver.local
	DATE: [2020-05-16] ---
		23:16:25	logout	mailserver.local
		05:19:45	login	mailserver.local
		08:18:53	login	mailserver.local
tarrin.evanoff@blacksburg.net	2
	DATE: [2020-05-09] ---
		13:22:04	login	webserver.local
		15:06:54	logout	webserver.local
		18:03:08	login	webserver.local
	DATE: [2020-05-18] ---
		18:36:02	login	myworkstation.local
		03:40:45	login	myworkstation.local
		09:38:11	logout	myworkstation.local
rob.weinstock@miho-nakayama.com	5
	DATE: [2020-05-12] ---
		11:10:08	login	myworkstation.local
		02:21:33	logout	myworkstation.local
		08:55:11	login	myworkstation.local
	DATE: [2020-05-12] ---
		15:26:07	login	mailserver.local
		17:37:54	logout	mailserver.local
		08:38:28	login	mailserver.local
	DATE: [2020-05-13] ---
		11:09:33	login	mailserver.local
		19:43:41	logout	mailserver.local
		05:27:46	login	mailserver.local
	DATE: [2020-05-14] ---
		12:19:51	login	webserver.local
		20:32:04	login	webserver.local
		07:30:18	logout	webserver.local
		08:53:36	login	webserver.local
	DATE: [2020-05-25] ---
		21:00:25	logout	mailserver.local
		03:02:05	login	mailserver.local
		06:50:03	login	mailserver.local
remington.caffrey@estranet.it	2
	DATE: [2020-05-15] ---
		21:33:36	logout	mailserver.local
		07:10:47	login	mailserver.local
		07:21:18	login	mailserver.local
	DATE: [2020-05-29] ---
		19:05:10	login	webserver.local
		19:26:26	login	webserver.local
		19:33:20	login	webserver.local
		20:55:58	logout	webserver.local
queen.pflughoeft@theraces.com	1
	DATE: [2020-05-17] ---
		01:46:23	logout	mailserver.local
		17:20:46	login	mailserver.local
		04:26:30	login	mailserver.local
tarrin.naysmith@mail2champaign.com	3
	DATE: [2020-05-17] ---
		18:52:34	login	myworkstation.local
		02:39:35	login	myworkstation.local
		22:58:10	logout	myworkstation.local
	DATE: [2020-05-26] ---
		10:26:43	logout	myworkstation.local
		10:54:54	login	myworkstation.local
		16:33:40	login	myworkstation.local
		20:51:15	login	myworkstation.local
	DATE: [2020-05-29] ---
		22:07:20	login	myworkstation.local
		05:30:29	login	myworkstation.local
		06:12:33	logout	myworkstation.local
maryelizabeth.stassen@freesurf.fr	3
	DATE: [2020-05-18] ---
		13:44:25	login	webserver.local
		19:07:23	login	webserver.local
		22:33:07	logout	webserver.local
		07:52:30	login	webserver.local
	DATE: [2020-05-19] ---
		18:16:29	login	myworkstation.local
		21:48:05	logout	myworkstation.local
		03:33:39	login	myworkstation.local
	DATE: [2020-05-28] ---
		12:57:41	logout	webserver.local
		13:39:22	login	webserver.local
		18:48:34	login	webserver.local
catherina.rowles@mail2zambia.com	3
	DATE: [2020-05-19] ---
		00:30:10	login	webserver.local
		15:50:38	login	webserver.local
		16:24:02	logout	webserver.local
		02:48:54	logout	webserver.local
		07:50:24	login	webserver.local
	DATE: [2020-05-20] ---
		14:36:06	login	mailserver.local
		15:34:53	login	mailserver.local
		18:44:37	logout	mailserver.local
		09:04:09	login	mailserver.local
	DATE: [2020-05-21] ---
		11:56:34	login	myworkstation.local
		13:49:33	login	myworkstation.local
		18:13:29	logout	myworkstation.local
ronica.thistle@freesurf.fr	1
	DATE: [2020-05-19] ---
		13:16:52	login	myworkstation.local
		23:48:24	login	myworkstation.local
		08:19:10	logout	myworkstation.local
delphine.hillebrand@mail2emergency.com	1
	DATE: [2020-05-21] ---
		11:23:58	logout	webserver.local
		15:53:35	login	webserver.local
		23:59:28	login	webserver.local
loriann.ryba@mail2perry.com	1
	DATE: [2020-05-22] ---
		15:43:46	logout	mailserver.local
		16:45:52	login	mailserver.local
		03:57:22	login	mailserver.local
xandria.cassetty@mail2zambia.com	2
	DATE: [2020-05-24] ---
		12:40:30	login	webserver.local
		23:05:00	login	webserver.local
		06:31:10	logout	webserver.local
	DATE: [2020-05-28] ---
		00:16:25	login	mailserver.local
		06:10:23	logout	mailserver.local
		08:20:10	login	mailserver.local
maryelizabeth.ryba@freesurf.fr	2
	DATE: [2020-05-27] ---
		00:15:44	login	webserver.local
		01:54:32	login	webserver.local
		19:47:09	logout	webserver.local
	DATE: [2020-05-29] ---
		01:48:54	logout	myworkstation.local
		20:44:33	login	myworkstation.local
		20:54:51	login	myworkstation.local
